       "p", "MUMPS 5.0", "MODWRAP2D (PULL)", "COL2D (PULL)", "ROW2D (PULL)"
         1,   11.17100,    9.60093,    9.23998,    9.21592
         1,   11.17860,    9.60742,    9.20883,    9.20281
         4,    3.35491,    9.63706,    9.59103,    9.21349
         4,    3.36130,    9.57526,    9.51667,    9.17138
        16,    1.22982,    2.83942,    3.06164,    2.60389
        16,    1.21596,    2.83519,    3.05666,    2.60097
        24,    0.93603,    2.57657,    2.82177,    2.33249
        24,    0.93510,    2.57816,    2.81913,    2.32788
        64,    0.47682,    1.16253,    1.13640,    1.00683
        64,    0.47570,    1.15755,    1.12533,    1.00165
        96,    0.47243,    0.91546,    0.86709,    0.71079
        96,    0.45853,    0.93101,    0.86543,    0.71289
       192,    0.78890,    0.89000,    0.51751,    0.44362
       192,    0.85818,    0.72455,    0.51517,    0.44348
       256,    0.91244,    0.61972,    0.49463,    0.41403
       256,    0.90552,    0.63201,    0.49532,    0.41288
       384,    1.49338,    0.60339,    0.41570,    0.33460
       384,    1.51090,    0.59616,    0.41198,    0.33734
       576,    2.12334,    0.63687,    0.36401,    0.28622
       576,    2.11662,    0.56814,    0.39362,    0.28376
