       "p", "MUMPS 5.0", "MODWRAP2D (PULL)", "COL2D (PULL)", "ROW2D (PULL)"
         1,    7.83797,    5.13243,    5.01205,    5.01033
         1,    7.83773,    5.13716,    5.01385,    5.01225
         4,    2.55884,    1.53192,    1.43280,    1.39428
         4,    2.53671,    1.53130,    1.44535,    1.39666
        16,    0.87034,    0.66129,    0.56074,    0.55859
        16,    0.87065,    0.66126,    0.55863,    0.56151
        24,    0.66875,    0.53381,    0.41904,    0.40314
        24,    0.65946,    0.53464,    0.41787,    0.39787
        64,    0.39616,    0.33345,    0.26933,    0.25016
        64,    0.40795,    0.37524,    0.23042,    0.26877
        96,    0.38622,    0.32192,    0.20754,    0.21701
        96,    0.37334,    0.32266,    0.20572,    0.21423
       192,    0.81641,    0.27753,    0.18953,    0.18408
       192,    0.75396,    0.27905,    0.26134,    0.18230
       256,    0.87792,    0.26961,    0.18365,    0.29059
       256,    0.92861,    0.26804,    0.18375,    0.26095
       384,    1.29362,    0.33325,    0.18290,    0.28623
       384,    1.34019,    0.28390,    0.25946,    0.24178
       576,    1.76884,    0.48336,    0.18681,    0.17407
       576,    1.70618,    0.34986,    0.28565,    0.17368
