       "p", "MUMPS 5.0", "MODWRAP2D (PULL)", "COL2D (PULL)", "ROW2D (PULL)"
         1,        nan,  316.39100,  311.43300,        nan
         1,        nan,  316.03400,  311.29400,        nan
         4,   97.73530,  102.05300,  114.61000,  100.88100
         4,  100.79800,  102.20700,  114.69900,  100.87600
        16,   44.17620,   48.42040,   34.40120,   27.84230
        16,   43.59740,   48.31720,   34.44840,   27.84530
        24,   27.85500,   36.58500,   26.23880,   20.03510
        24,   32.18770,   36.58380,   26.19640,   20.03680
        64,   15.54150,   30.39520,   25.57320,   10.24020
        64,   15.63970,   30.37210,   25.70670,   10.31700
        96,   12.87370,   25.85510,   21.28980,    8.79033
        96,   12.84890,   26.07650,   21.01550,    8.83828
       192,   11.75600,   23.78220,   18.76520,    7.24870
       192,   12.95160,   24.01200,   18.60310,    7.37396
       256,        nan,   20.77440,   17.34180,    7.13141
       256,   13.12630,   20.91450,   17.35130,    7.16879
       384,   17.09900,   20.25180,   12.12020,    7.07451
       384,   16.60980,   20.15430,   11.79320,    7.10088
       576,        nan,   23.73500,   10.31120,    7.01844
       576,        nan,   23.49220,   10.68560,    6.86315
