       "p", "MUMPS 5.0", "MODWRAP2D (PULL)", "COL2D (PULL)", "ROW2D (PULL)"
         1,        nan,  289.57700,  286.13500,  285.82600
         1,        nan,  289.49400,  285.74500,        nan
         4,   98.15190,  120.35200,  139.41100,  118.54100
         4,   96.13190,  120.43600,  139.43400,  118.52100
        16,   43.66920,   52.73670,   47.49550,   42.03630
        16,   43.63630,   52.71250,   47.45050,   42.04380
        24,   26.52670,   36.70490,   25.16910,   20.52010
        24,   26.58110,   36.64670,   25.23670,   20.51150
        64,   14.50410,   36.64720,   39.89610,   12.77180
        64,   14.69760,   36.42130,   39.81410,   12.84860
        96,   12.27630,   33.46090,   32.59150,   10.85370
        96,   13.59680,   33.28460,   32.24650,   10.79740
       192,   13.29140,   26.08900,   24.90340,    9.71735
       192,   12.50480,   26.12660,   24.81650,    9.70287
       256,   13.85960,   26.66830,   18.54190,    9.26582
       256,   13.40000,   26.51100,   18.30570,    9.25084
       256,   13.43980,   26.43170,   18.49660,    9.72977
       256,   13.61280,   26.43630,   18.44370,    9.70593
       384,   15.28860,   25.55810,   14.99560,    9.23975
       384,   19.90080,   25.79770,   15.21450,    9.31938
       384,        nan,   25.60770,   15.63000,    9.36895
       384,   17.59620,   25.41640,   14.89130,    9.24229
       576,   23.37700,   29.80540,   15.17580,    8.78110
       576,   25.24510,   29.79850,   15.56730,    9.00904
       576,   28.74830,   29.59280,   15.11350,    8.57221
       576,   24.92440,   29.92540,   16.10690,    8.62549
