       "p", "MUMPS 5.0", "MODWRAP2D (PULL)", "COL2D (PULL)", "ROW2D (PULL)"
         1,   30.65020,   22.94600,   22.39500,   22.45570
         1,   30.68520,   22.88740,   22.45260,   22.46810
         4,   10.15090,    7.83340,    7.26589,    6.83561
         4,   10.10990,    7.87176,    7.22316,    6.82969
        16,    3.55340,    3.72605,    2.67682,    2.55531
        16,    3.55178,    3.74704,    2.66171,    2.57356
        24,    2.71453,    3.24525,    1.97310,    1.92834
        24,    2.70790,    3.25166,    1.97171,    1.93451
        64,    1.45310,    2.47305,    1.32712,    1.38760
        64,    1.47366,    2.47503,    1.27897,    1.38309
        96,    1.27272,    2.35267,    1.21625,    1.17522
        96,    1.29016,    2.39412,    1.26472,    1.18368
       192,    1.52965,    2.02932,    1.16388,    1.09135
       192,    1.51039,    2.09422,    1.15751,    1.10047
       256,    1.87794,    2.16274,    1.17694,    1.07538
       256,    1.93201,    2.15113,    1.12199,    1.06345
       384,    2.60031,    2.06226,    1.11936,    1.11683
       384,    2.67608,    2.04262,    1.20684,    1.05753
       576,    3.98030,    2.29675,    1.14823,    1.06754
       576,    3.87357,    2.28982,    1.15027,    1.06068
