 "p", "MODWRAP2D (PULL)", "COL2D (PULL)", "ROW2D (PULL)", "MODWRAP2D (PULL STATIC)", "MUMPS 5.0", "ROW2D (PUSH)", "ROW2D (PULL STATIC)", "COL2D (PULL STATIC)", "COL2D (PUSH)", "MODWRAP2D (PUSH)"
 4, 7.83340, 7.26589, 6.83561, 11.56250, 10.16870, 10.49080, 11.54480, 11.81920, 8.05727, 9.91372
 4, 7.87176, 7.22316, 6.82969, 11.60730, 10.15620, 10.46010, 11.48130, 11.84660, 8.09395, 9.89863
 16, 3.72605, 2.67682, 2.55531, 8.06430, 3.56408, 6.58501, 5.24440, 11.21180, 2.88326, 6.69002
 16, 3.74704, 2.66171, 2.57356, 8.06399, 3.55938, 6.63384, 5.21923, 11.21210, 2.84093, 6.70053
 24, 3.24525, 1.97310, 1.92834, 7.52728, 2.71794, 5.70438, 3.42506, 11.75440, 2.38961, 6.61182
 24, 3.25166, 1.97171, 1.93451, 7.49287, 2.71902, 5.55241, 3.14863, 11.91760, 2.38790, 6.58727
 64, 2.47305, 1.32712, 1.38760, 5.67836, 1.49651, 4.65955, 2.42013, 12.00570, 2.82901, 4.74459
 64, 2.47503, 1.27897, 1.38309, 5.71679, 1.53247, 4.70217, 2.26378, 11.90090, 3.37275, 4.44836
 96, 2.35267, 1.21625, 1.17522, 5.21820, 1.38171, 3.42967, 1.72297, 11.27290, 1.65940, 3.42262
 96, 2.39412, 1.26472, 1.18368, 5.21122, 1.27026, 3.37443, 1.63884, 11.27630, 1.77395, 3.37576
 192, 2.02932, 1.16388, 1.09135, 3.84606, 1.60565, 2.07396, 1.43844, 10.51780, 7.04121, 3.33774
 192, 2.09422, 1.15751, 1.10047, 3.80494, 1.59922, 1.96380, 1.36895, 10.46000, 9.98251, 3.38853
 256, 2.16274, 1.17694, 1.07538, 4.89878, 1.81788, 2.13217, 1.25858, 10.37360, 1.82895, 3.50233
 256, 2.15113, 1.12199, 1.06345, 4.85390, 1.79658, 1.91205, 1.27130, 10.27270, 1.83915, 3.49210
 384, 2.06226, 1.11936, 1.11683, 3.91276, 2.59540, 1.35305, 1.31005, 10.23270, 2.00864, 2.61482
 384, 2.04262, 1.20684, 1.05753, 3.95008, 2.52867, 1.28182, 1.26544, 10.22380, 3.05291, 2.54407
 576, 2.29675, 1.14823, 1.06754, 4.72549, 3.78881, 1.21176, 1.30789, 10.24330, 1.86897, 2.62466
 576, 2.28982, 1.15027, 1.06068, 4.69743, 3.83120, 1.23441, 1.21816, 10.24200, 3.45007, 2.74754
