#p    MW2D Col2D Row2D  MUMPS5.0 Diag2D
#mw
1         53.9503  51.7937 51.7478 42.8636 53.8806  
4         25.9361  24.1322 38.9072 15.2197 25.9088  
8         35.5162  18.2586 39.57   11.6518 35.5299  
16        14.4508  11.0048 15.8208 6.4754  14.393   
24        15.496   9.51345 16.3776 4.2196  15.4922 
32        15.9704  7.45434 13.8612 3.7032  16.0591  
48        14.548   5.88524 13.0891 2.6683  14.5429 
64        9.17541  5.09268 8.40761 2.4348  9.18722  
72        9.84013  5.07454 7.65348 2.8230  9.84643  
96        7.29907  3.8256  5.19922 2.1171  7.23546  
120       7.90434  3.6094  3.92811 3.3873  -1 
128       6.34502  4.20051 4.17426 2.3909  -1 
192       5.05849  2.65932 2.91743 2.3774  -1  
256       4.41311  2.22664 2.34188 1.8624  -1  
384       5.5986   2.06906 1.96419 3.3255  -1 
512       5.47991  2.08426 1.88814 2.5869  -1  
576       5.05589  2.0228  1.72482 3.0555  -1  
720       5.53436  2.16521 1.64587 4.7454  -1  
1024      3.23619  2.16896 1.67018 7.3693  -1   
1032      3.21335  2.11531 1.66819 8.4364  -1 
1200      4.12994  2.10253 1.67365 12.1539 -1
1440      4.55324  2.14383 1.70966 -1 -1   
