p, b, ordering, load_balancing, mapping, nnz, volume, msg,
2, 20, SCOTCH, NOLB, MODWRAP2D, 1954712, 17646896, 8701,
2, 20, SCOTCH, NOLB, COL2D, 1954712, 19486888, 6862,
2, 20, SCOTCH, NOLB, ROW2D, 1954712, 17646896, 8701,
4, 20, SCOTCH, NOLB, MODWRAP2D, 1954712, 36937224, 15564,
4, 20, SCOTCH, NOLB, COL2D, 1954712, 55100160, 18865,
4, 20, SCOTCH, NOLB, ROW2D, 1954712, 50780496, 25181,
8, 20, SCOTCH, NOLB, MODWRAP2D, 1954712, 68099168, 31614,
8, 20, SCOTCH, NOLB, COL2D, 1954712, 116134352, 35281,
8, 20, SCOTCH, NOLB, ROW2D, 1954712, 106157768, 51687,
16, 20, SCOTCH, NOLB, MODWRAP2D, 1954712, 99327280, 42358,
16, 20, SCOTCH, NOLB, COL2D, 1954712, 207004712, 51110,
16, 20, SCOTCH, NOLB, ROW2D, 1954712, 178860288, 81604,
24, 20, SCOTCH, NOLB, MODWRAP2D, 1954712, 116200680, 52767,
24, 20, SCOTCH, NOLB, COL2D, 1954712, 268609472, 59114,
24, 20, SCOTCH, NOLB, ROW2D, 1954712, 215777264, 97099,
64, 20, SCOTCH, NOLB, MODWRAP2D, 1954712, 163034472, 68868,
64, 20, SCOTCH, NOLB, COL2D, 1954712, 365569280, 80002,
64, 20, SCOTCH, NOLB, ROW2D, 1954712, 257209640, 117675,
100, 20, SCOTCH, NOLB, MODWRAP2D, 1954712, 187806864, 74346,
100, 20, SCOTCH, NOLB, COL2D, 1954712, 436234016, 90106,
100, 20, SCOTCH, NOLB, ROW2D, 1954712, 269109392, 122813,
169, 20, SCOTCH, NOLB, MODWRAP2D, 1954712, 218664024, 79017,
169, 20, SCOTCH, NOLB, COL2D, 1954712, 463198744, 100676,
169, 20, SCOTCH, NOLB, ROW2D, 1954712, 269961456, 125808,
2, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 1954712, 4066152, 1086,  
2, 20, SCOTCH, SUBCUBE-FO, COL2D, 1954712, 1501240, 30,  
2, 20, SCOTCH, SUBCUBE-FO, ROW2D, 1954712, 6568384, 2164,  
4, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 1954712, 12932632, 3329,  
4, 20, SCOTCH, SUBCUBE-FO, COL2D, 1954712, 7190168, 117,  
4, 20, SCOTCH, SUBCUBE-FO, ROW2D, 1954712, 21947240, 6659,  
8, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 1954712, 26169288, 7308,  
8, 20, SCOTCH, SUBCUBE-FO, COL2D, 1954712, 17299912, 312,  
8, 20, SCOTCH, SUBCUBE-FO, ROW2D, 1954712, 45480576, 12737,  
16, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 1954712, 49265056, 11528,  
16, 20, SCOTCH, SUBCUBE-FO, COL2D, 1954712, 42368680, 748,  
16, 20, SCOTCH, SUBCUBE-FO, ROW2D, 1954712, 90384680, 21358,  
24, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 1954712, 66362624, 14362,  
24, 20, SCOTCH, SUBCUBE-FO, COL2D, 1954712, 68260936, 1227,  
24, 20, SCOTCH, SUBCUBE-FO, ROW2D, 1954712, 121355384, 27468,  
64, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 1954712, 128795936, 26894,  
64, 20, SCOTCH, SUBCUBE-FO, COL2D, 1954712, 150193152, 3494,  
64, 20, SCOTCH, SUBCUBE-FO, ROW2D, 1954712, 188157336, 44803,  
100, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 1954712, 160769576, 32810,  
100, 20, SCOTCH, SUBCUBE-FO, COL2D, 1954712, 186987024, 5273,  
100, 20, SCOTCH, SUBCUBE-FO, ROW2D, 1954712, 206125296, 51482,  
169, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 1954712, 198237704, 39208,  
169, 20, SCOTCH, SUBCUBE-FO, COL2D, 1954712, 230702328, 8194,  
169, 20, SCOTCH, SUBCUBE-FO, ROW2D, 1954712, 226455160, 60392,  
2, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 1954712, 4056480, 1059,  
2, 20, SCOTCH, SUBCUBE-FI, COL2D, 1954712, 1500376, 30,  
2, 20, SCOTCH, SUBCUBE-FI, ROW2D, 1954712, 6364576, 2194,  
4, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 1954712, 12828432, 3441,  
4, 20, SCOTCH, SUBCUBE-FI, COL2D, 1954712, 7155944, 117,  
4, 20, SCOTCH, SUBCUBE-FI, ROW2D, 1954712, 21363840, 6839,  
8, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 1954712, 25492952, 7410,  
8, 20, SCOTCH, SUBCUBE-FI, COL2D, 1954712, 15946816, 302,  
8, 20, SCOTCH, SUBCUBE-FI, ROW2D, 1954712, 37374568, 12239,  
16, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 1954712, 48582688, 11176,  
16, 20, SCOTCH, SUBCUBE-FI, COL2D, 1954712, 41816072, 747,  
16, 20, SCOTCH, SUBCUBE-FI, ROW2D, 1954712, 84785728, 20356,  
24, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 1954712, 66867808, 15075,  
24, 20, SCOTCH, SUBCUBE-FI, COL2D, 1954712, 65249888, 1201,  
24, 20, SCOTCH, SUBCUBE-FI, ROW2D, 1954712, 115747840, 27032,  
64, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 1954712, 124923248, 26236,  
64, 20, SCOTCH, SUBCUBE-FI, COL2D, 1954712, 148669232, 3470,  
64, 20, SCOTCH, SUBCUBE-FI, ROW2D, 1954712, 183223032, 43670,  
100, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 1954712, 155423344, 31189,  
100, 20, SCOTCH, SUBCUBE-FI, COL2D, 1954712, 186550416, 5271,  
100, 20, SCOTCH, SUBCUBE-FI, ROW2D, 1954712, 203166176, 50186,  
169, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 1954712, 195752472, 38829,  
169, 20, SCOTCH, SUBCUBE-FI, COL2D, 1954712, 230743952, 8211,  
169, 20, SCOTCH, SUBCUBE-FI, ROW2D, 1954712, 226562848, 60219,  
