p, b, ordering, mapping, nnz, volume, message,
64, 20, NDBOX, MODWRAP2D, 2775175, 187485016, 33777,  
64, 20, NDBOX, COL2D, 2775175, 325641792, 38917,  
64, 20, NDBOX, ROW2D, 2775175, 289265440, 54309,  
64, 20, METIS, MODWRAP2D, 2910857, 215060840, 30068,  
64, 20, METIS, COL2D, 2910857, 400210928, 36520,  
64, 20, METIS, ROW2D, 2910857, 353112936, 72525,  
64, 20, MMD, MODWRAP2D, 4000238, 275752400, 22589,  
64, 20, MMD, COL2D, 4000238, 559853784, 27261,  
64, 20, MMD, ROW2D, 4000238, 563782944, 41433,  
64, 20, AMD, MODWRAP2D, 4552101, 339904240, 24356,  
64, 20, AMD, COL2D, 4552101, 781170528, 28972,  
64, 20, AMD, ROW2D, 4552101, 779966200, 47802,  
2, 20, SCOTCH, MODWRAP2D, 3014656, 24240552, 3607,  
2, 20, SCOTCH, COL2D, 3014656, 26134296, 3175,  
2, 20, SCOTCH, ROW2D, 3014656, 24240552, 3607,  
4, 20, SCOTCH, MODWRAP2D, 3014656, 49901088, 6783,  
4, 20, SCOTCH, COL2D, 3014656, 73325344, 7858,  
4, 20, SCOTCH, ROW2D, 3014656, 67793264, 10693,  
8, 20, SCOTCH, MODWRAP2D, 3014656, 89047400, 13669,  
8, 20, SCOTCH, COL2D, 3014656, 150699896, 13972,  
8, 20, SCOTCH, ROW2D, 3014656, 135333512, 22257,  
16, 20, SCOTCH, MODWRAP2D, 3014656, 127623296, 17786,  
16, 20, SCOTCH, COL2D, 3014656, 241158424, 20274,  
16, 20, SCOTCH, ROW2D, 3014656, 213246544, 34776,  
24, 20, SCOTCH, MODWRAP2D, 3014656, 145877584, 21807,  
24, 20, SCOTCH, COL2D, 3014656, 289177696, 24389,  
24, 20, SCOTCH, ROW2D, 3014656, 254078224, 40612,  
64, 20, SCOTCH, MODWRAP2D, 3014656, 204469000, 26824,  
64, 20, SCOTCH, COL2D, 3014656, 367926152, 34460,  
64, 20, SCOTCH, ROW2D, 3014656, 289919880, 48236,  
100, 20, SCOTCH, MODWRAP2D, 3014656, 232125072, 28234,  
100, 20, SCOTCH, COL2D, 3014656, 402373408, 38457,  
100, 20, SCOTCH, ROW2D, 3014656, 300432272, 49795,  
169, 20, SCOTCH, MODWRAP2D, 3014656, 263701912, 30360,  
169, 20, SCOTCH, COL2D, 3014656, 433045544, 43536,  
169, 20, SCOTCH, ROW2D, 3014656, 312574864, 51187,  
2, 20, NDBOX, MODWRAP2D, 2775175, 22393200, 5087,  
2, 20, NDBOX, COL2D, 2775175, 24171512, 4359,  
2, 20, NDBOX, ROW2D, 2775175, 22393200, 5087,  
4, 20, NDBOX, MODWRAP2D, 2775175, 45997880, 9445,  
4, 20, NDBOX, COL2D, 2775175, 69041712, 10994,  
4, 20, NDBOX, ROW2D, 2775175, 62802680, 15046,  
8, 20, NDBOX, MODWRAP2D, 2775175, 81950776, 18672,  
8, 20, NDBOX, COL2D, 2775175, 136247304, 18242,  
8, 20, NDBOX, ROW2D, 2775175, 126274776, 30254,  
16, 20, NDBOX, MODWRAP2D, 2775175, 118753704, 23418,  
16, 20, NDBOX, COL2D, 2775175, 210268256, 24374,  
16, 20, NDBOX, ROW2D, 2775175, 202369224, 42060,  
24, 20, NDBOX, MODWRAP2D, 2775175, 134213376, 27432,  
24, 20, NDBOX, COL2D, 2775175, 255271224, 28259,  
24, 20, NDBOX, ROW2D, 2775175, 240654856, 47321,  
100, 20, NDBOX, MODWRAP2D, 2775175, 201076920, 35231,  
100, 20, NDBOX, COL2D, 2775175, 354256704, 43941,  
100, 20, NDBOX, ROW2D, 2775175, 284794512, 54736,  
169, 20, NDBOX, MODWRAP2D, 2775175, 229598416, 37151,  
169, 20, NDBOX, COL2D, 2775175, 371455096, 48427,  
169, 20, NDBOX, ROW2D, 2775175, 299334832, 56563,  
2, 20, METIS, MODWRAP2D, 2910857, 25051264, 4455,  
2, 20, METIS, COL2D, 2910857, 27553864, 3384,  
2, 20, METIS, ROW2D, 2910857, 25051264, 4455,  
4, 20, METIS, MODWRAP2D, 2910857, 51942104, 7832,  
4, 20, METIS, COL2D, 2910857, 78037696, 8099,  
4, 20, METIS, ROW2D, 2910857, 70175112, 13246,  
8, 20, METIS, MODWRAP2D, 2910857, 91976880, 16295,  
8, 20, METIS, COL2D, 2910857, 156764736, 13182,  
8, 20, METIS, ROW2D, 2910857, 142605496, 28347,  
16, 20, METIS, MODWRAP2D, 2910857, 133804584, 20323,  
16, 20, METIS, COL2D, 2910857, 249338248, 19050,  
16, 20, METIS, ROW2D, 2910857, 233787968, 46813,  
24, 20, METIS, MODWRAP2D, 2910857, 154180984, 25742,  
24, 20, METIS, COL2D, 2910857, 305679728, 23183,  
24, 20, METIS, ROW2D, 2910857, 287709368, 56520,  
100, 20, METIS, MODWRAP2D, 2910857, 248026232, 32867,  
100, 20, METIS, COL2D, 2910857, 463489824, 43426,  
100, 20, METIS, ROW2D, 2910857, 381155720, 77747,  
169, 20, METIS, MODWRAP2D, 2910857, 277001960, 33531,  
169, 20, METIS, COL2D, 2910857, 505133560, 52742,  
169, 20, METIS, ROW2D, 2910857, 389806160, 79485,  
2, 20, MMD, MODWRAP2D, 4000238, 31879360, 4177,  
2, 20, MMD, COL2D, 4000238, 33179600, 2751,  
2, 20, MMD, ROW2D, 4000238, 31879360, 4177,  
4, 20, MMD, MODWRAP2D, 4000238, 64299504, 6907,  
